Parameters:
Entities,Kingsway
Rooms,All
Classifications,All
Products,All
In Stock Only,No
Brands,All

Location,Product,Classification,SKU,In Stock Qty,Unit Type,Received Date,PackageId,BatchId,Expiration Date,Use By Date,Packaged Date,Unit Cost,Total Cost,Transfer In Qty,Transfer Out Qty,On Order Qty,Regular Price,Days In Stock,Room,Manufacturer,Supplier,Supplier SKU,Product State,Strain,THC %,CBD %
Kingsway,1964: GELATO #41 FSE RESIN VAPE (1g),Resin Vapes,72F2YBTM,0.000,Each,05/09/2025,G41FED002,,,,,27.9700,0.0000,0.000,0.000,0.000,44.95,226,Default,,BCLDB,1066550,Active,,,
Kingsway,1964: GELATO #41 FSE RESIN VAPE (1g),Resin Vapes,72F2YBTM,0.000,Each,03/28/2025,G41FED003,,,,,27.9700,0.0000,0.000,0.000,0.000,44.95,268,Default,,BCLDB,1066550,Active,,,
Kingsway,1964: GELATO #41 FSE RESIN VAPE (1g),Resin Vapes,72F2YBTM,0.000,Each,10/31/2025,G41FED004,,,,,27.9700,0.0000,0.000,0.000,0.000,44.95,51,Default,,BCLDB,1066550,Active,,,
Kingsway,1964: GG4 CURED RESIN (1g),Resin,7P68WDBQ,0.000,Each,02/14/2025,MXXALD074,,,,,27.9700,0.0000,0.000,0.000,0.000,39.95,310,Default,,BCLDB,1064359,Active,,,
Kingsway,1964: HARLEQUIN 1:1 FSE RESIN CARTRIDGE (1g),Resin Vapes,25FJPYH6,0.000,Each,09/12/2025,HLQFEE001,,,,,27.9700,0.0000,0.000,0.000,0.000,44.95,100,Default,,BCLDB,1068456,Active,,,
Kingsway,1964: HEAVY HITTER LEBANESE HASH INFUSED PR (1g),Hash Infused Pre-Rolls,N112EWEH,0.000,Each,10/27/2023,DPILC001,,,,,11.9400,0.0000,0.000,0.000,0.000,18.95,786,Default,,BCLDB,1058395,Active,,,
Kingsway,1964: HEAVY HITTER LEBANESE HASH INFUSED PR (1g),Hash Infused Pre-Rolls,N112EWEH,0.000,Each,06/27/2025,DTPILE001,,,,,11.9400,0.0000,0.000,0.000,0.000,18.95,177,Default,,BCLDB,1058395,Active,,,
Kingsway,1964: HEAVY HITTER LEBANESE HASH INFUSED PR (1g),Hash Infused Pre-Rolls,N112EWEH,0.000,Each,11/01/2024,G41ILD001,,,,,11.9400,0.0000,0.000,0.000,0.000,18.95,415,Default,,BCLDB,1058395,Active,,,
Kingsway,1964: HEAVY HITTER LEBANESE HASH INFUSED PR (1g),Hash Infused Pre-Rolls,N112EWEH,0.000,Each,02/28/2025,G41ILD003,,,,,11.9400,0.0000,0.000,0.000,0.000,18.95,296,Default,,BCLDB,1058395,Active,,,
Kingsway,1964: HEAVY HITTER LEBANESE HASH INFUSED PR (1g),Hash Infused Pre-Rolls,N112EWEH,0.000,Each,04/26/2024,GTILC003,,,,,11.9400,0.0000,0.000,0.000,0.000,18.95,604,Default,,BCLDB,1058395,Active,,,
Kingsway,1964: HEAVY HITTER LEBANESE HASH INFUSED PR (1g),Hash Infused Pre-Rolls,N112EWEH,14.000,Each,11/07/2025,LAKILE001,,,,,11.9400,167.1600,0.000,0.000,0.000,18.95,44,Default,,BCLDB,1058395,Active,,,
Kingsway,1964: HEAVY HITTER LEBANESE HASH INFUSED PR (1g),Hash Infused Pre-Rolls,N112EWEH,0.000,Each,09/05/2025,MXXILE002,,,,,11.9400,0.0000,0.000,0.000,0.000,18.95,107,Default,,BCLDB,1058395,Active,,,
Kingsway,1964: HEAVY HITTER LEBANESE HASH INFUSED PR (1g),Hash Infused Pre-Rolls,N112EWEH,0.000,Each,04/25/2025,SBILD001,,,,,11.9400,0.0000,0.000,0.000,0.000,18.95,240,Default,,BCLDB,1058395,Active,,,
Kingsway,1964: LA KUSH CAKE (28g),Dried Flower,YZBFW6BT,0.000,Each,02/07/2025,LAKPGD004,,,,,111.8800,0.0000,0.000,0.000,0.000,169.95,317,Default,,BCLDB,1067783,Active,,,
Kingsway,1964: LA KUSH CAKE (28g),Dried Flower,YZBFW6BT,0.000,Each,10/18/2025,LAKPGE005,,,,,115.3800,0.0000,0.000,0.000,0.000,169.95,64,Default,,BCLDB,1067783,Active,,,
Kingsway,1964: LA KUSH CAKE (28g),Dried Flower,YZBFW6BT,0.000,Each,09/12/2025,LAKPGE006,,,,,115.3800,0.0000,0.000,0.000,0.000,169.95,100,Default,,BCLDB,1067783,Active,,,
Kingsway,1964: LA KUSH CAKE (28g),Dried Flower,YZBFW6BT,11.000,Each,11/07/2025,LAKPGE009,,,,,115.3800,1269.1800,0.000,0.000,0.000,169.95,44,Default,,BCLDB,1067783,Active,,,
Kingsway,1964: LA KUSH CAKE (28g),Dried Flower,YZBFW6BT,0.000,Each,01/03/2025,LAPGD008,,,,,111.8800,0.0000,0.000,0.000,0.000,169.95,352,Default,,BCLDB,1067783,Active,,,
Kingsway,1964: LA KUSH CAKE (3.5g),Dried Flower,6YM1BYZJ,0.000,Each,03/28/2025,LAKPGD008,,,,,20.9800,0.0000,0.000,0.000,0.000,29.95,268,Default,,BCLDB,1066639,Active,,,
Kingsway,1964: LA KUSH CAKE (3.5g),Dried Flower,6YM1BYZJ,0.000,Each,09/04/2025,LAKPGD015,,,,,20.9800,0.0000,0.000,0.000,0.000,29.95,108,Default,,BCLDB,1066639,Active,,,
Kingsway,1964: LA KUSH CAKE (3.5g),Dried Flower,6YM1BYZJ,0.000,Each,07/20/2025,LAKPGD016,,,,,20.9800,0.0000,0.000,0.000,0.000,29.95,154,Default,,BCLDB,1066639,Active,,,
Kingsway,1964: LA KUSH CAKE (3.5g),Dried Flower,6YM1BYZJ,0.000,Each,10/31/2025,LAKPGE001,,,,,20.9800,0.0000,0.000,0.000,0.000,29.95,51,Default,,BCLDB,1066639,Active,,,
Kingsway,1964: LA KUSH CAKE (3.5g),Dried Flower,6YM1BYZJ,7.000,Each,11/28/2025,LAKPGE009,,,,,20.9800,146.8600,0.000,0.000,0.000,29.95,23,Default,,BCLDB,1066639,Active,,,
Kingsway,1964: LA KUSH CAKE (3.5g),Dried Flower,6YM1BYZJ,0.000,Each,09/06/2024,LAPGD002,,,,,20.9800,0.0000,0.000,0.000,0.000,29.95,471,Default,,BCLDB,1066639,Active,,,
Kingsway,1964: LA KUSH CAKE (3.5g),Dried Flower,6YM1BYZJ,0.000,Each,01/20/2025,LAPGD006,,,,,20.9800,0.0000,0.000,0.000,0.000,29.95,335,Default,,BCLDB,1066639,Active,,,
Kingsway,1964: LA KUSH CAKE (3.5g),Dried Flower,6YM1BYZJ,0.000,Each,02/14/2025,LAPGD008,,,,,20.9800,0.0000,0.000,0.000,0.000,29.95,310,Default,,BCLDB,1066639,Active,,,
Kingsway,1964: LA KUSH CAKE (3.5g),Dried Flower,6YM1BYZJ,0.000,Each,11/22/2024,LAPGD010,,,,,20.9800,0.0000,0.000,0.000,0.000,29.95,394,Default,,BCLDB,1066639,Active,,,
Kingsway,1964: LA KUSH CAKE (3.5g),Dried Flower,6YM1BYZJ,0.000,Each,05/23/2025,MXXALE005,,,,,20.9800,0.0000,0.000,0.000,0.000,29.95,212,Default,,BCLDB,1066639,Active,,,
Kingsway,1964: LA KUSH CAKE PRE-ROLL (1 x 1g),Pre-Rolls,1R6YMY1X,0.000,Each,09/27/2024,LAKP1DMX3,,,,,6.9900,0.0000,0.000,0.000,0.000,9.95,450,Default,,BCLDB,1066640,Active,,,
